ts_code,symbol,name,list_date,delist_date
FB1508.DCE,FB1508,ÏËÎ¬°å1508,20140815,20150814
M1508.DCE,M1508,¶¹ÆÉ1508,20140815,20150814
Y1508.DCE,Y1508,¶¹ÓÍ1508,20140815,20150814
BB1508.DCE,BB1508,½ººÏ°å1508,20140815,20150814
JM1508.DCE,JM1508,½¹Ãº1508,20140815,20150814
I1508.DCE,I1508,Ìú¿óÊ¯1508,20140815,20150814
A0407.DCE,A0407,¶¹Ò»0407,20030116,20040714
L1510.DCE,L1510,ËÜÁÏ1510,20141022,20151021
J1510.DCE,J1510,½¹Ì¿1510,20141022,20151021
I1510.DCE,I1510,Ìú¿óÊ¯1510,20141022,20151021
B0607.DCE,B0607,¶¹¶þ0607,20050715,20060714
M1511.DCE,M1511,¶¹ÆÉ1511,20141117,20151113
BB1511.DCE,BB1511,½ººÏ°å1511,20141117,20151113
I1511.DCE,I1511,Ìú¿óÊ¯1511,20141117,20151113
PP1511.DCE,PP1511,¾Û±ûÏ©1511,20141117,20151113
P1511.DCE,P1511,×ØéµÓÍ1511,20141117,20151113
JD1511.DCE,JD1511,¼¦µ°1511,20141117,20151113
L0904.DCE,L0904,ËÜÁÏ0904,20080416,20090415
M0609.DCE,M0609,¶¹ÆÉ0609,20050915,20060914
L1512.DCE,L1512,ËÜÁÏ1512,20141215,20151214
V1512.DCE,V1512,PVC1512,20141215,20151214
I1512.DCE,I1512,Ìú¿óÊ¯1512,20141215,20151214
FB1512.DCE,FB1512,ÏËÎ¬°å1512,20141215,20151214
CS1505.DCE,CS1505,ÓñÃ×µí·Û1505,20141219,20150515
CS1503.DCE,CS1503,ÓñÃ×µí·Û1503,20141219,20150313
C0605.DCE,C0605,ÓñÃ×0605,20050523,20060519
A0601.DCE,A0601,¶¹Ò»0601,20040715,20060117
CS1601.DCE,CS1601,ÓñÃ×µí·Û1601,20150119,20160115
Y1601.DCE,Y1601,¶¹ÓÍ1601,20150119,20160115
V1601.DCE,V1601,PVC1601,20150119,20160115
I1601.DCE,I1601,Ìú¿óÊ¯1601,20150119,20160115
M1601.DCE,M1601,¶¹ÆÉ1601,20150119,20160115
JD1601.DCE,JD1601,¼¦µ°1601,20150119,20160115
L1601.DCE,L1601,ËÜÁÏ1601,20150119,20160115
M0111.DCE,M0111,¶¹ÆÉ0111,20001115,20011114
J1602.DCE,J1602,½¹Ì¿1602,20150216,20160219
JD1602.DCE,JD1602,¼¦µ°1602,20150216,20160219
JM1602.DCE,JM1602,½¹Ãº1602,20150216,20160219
A0905.DCE,A0905,¶¹Ò»0905,20071115,20090515
L1603.DCE,L1603,ËÜÁÏ1603,20150316,20160314
V1603.DCE,V1603,PVC1603,20150316,20160314
A1609.DCE,A1609,¶¹Ò»1609,20150316,20160914
Y1603.DCE,Y1603,¶¹ÓÍ1603,20150316,20160314
PP1603.DCE,PP1603,¾Û±ûÏ©1603,20150316,20160314
M0812.DCE,M0812,¶¹ÆÉ0812,20071217,20081212
P0905.DCE,P0905,×ØéµÓÍ0905,20080519,20090515
J1604.DCE,J1604,½¹Ì¿1604,20150416,20160415
JM1604.DCE,JM1604,½¹Ãº1604,20150416,20160415
L1604.DCE,L1604,ËÜÁÏ1604,20150416,20160415
PP1604.DCE,PP1604,¾Û±ûÏ©1604,20150416,20160415
V1604.DCE,V1604,PVC1604,20150416,20160415
M0107.DCE,M0107,¶¹ÆÉ0107,20000717,20010713
A0211.DCE,A0211,¶¹Ò»0211,20011115,20021114
A0403.DCE,A0403,¶¹Ò»0403,20020916,20040312
FB1605.DCE,FB1605,ÏËÎ¬°å1605,20150518,20160516
C1605.DCE,C1605,ÓñÃ×1605,20150518,20160516
M1605.DCE,M1605,¶¹ÆÉ1605,20150518,20160516
CS1605.DCE,CS1605,ÓñÃ×µí·Û1605,20150518,20160516
L0805.DCE,L0805,ËÜÁÏ0805,20070731,20080516
L0810.DCE,L0810,ËÜÁÏ0810,20071022,20081017
